ID,How likely are you to vote in the 2024 Presidential Election?,How enthusiastic are you to vote in the 2024 Presidential Election?,How often do you vote?," If the 2024 presidential election were held today, who would you vote for if the candidates were:",Party ID (With Leaners),Are you closer to being a:,"Who did you vote for in the 2020 presidential election, or did you not vote?",Which issue would you say is most important to your vote?,"Regardless of who you're supporting, which candidate would better handle the economy and jobs?","Regardless of who you're supporting, which candidate would better handle immigration and border security?","Regardless of who you're supporting, which candidate would better handle abortion rights and restrictions?",Do you support the construction of a border wall along the southern border?,Do you support the mass deportation of undocumented immigrants currently living in the United States?,Age,Gender,Race,Race/Education,Education Level,US Region,US Zip Code,LV Score
207,Likely,Very,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Unsure,Kamala Harris,Kamala Harris,No,No,18-29,Female,Other,Non White College,College,West,95014,9
239,Certain,Not at all,Always,"Kamala Harris, the Democrat",Independent,Neither,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,Yes,45-64,Female,White,White College,College,South,37932,9
292,Likely,Somewhat,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,No,30-44,Male,Hispanic,Non White College,College,South,33184,9
306,Likely,Somewhat,Always,"Donald Trump, the Republican",Republican,Republican,"Joe Biden, the Democrat",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White No College,No College,Northeast,06804,9
319,Certain,Somewhat,Only in presidential elections,"Donald Trump, the Republican",Republican,Republican,I did not vote,Healthcare,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,30-44,Male,White,White College,College,Northeast,19464,9
323,Likely,Somewhat,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,No,30-44,Male,Hispanic,Non White No College,No College,West,98031,9
328,Certain,Not at all,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Other,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Male,White,White College,College,Northeast,12590,9
330,Certain,Not at all,Always,"Kamala Harris, the Democrat",Democrat,Democrat,I did not vote,Abortion rights and restrictions,Kamala Harris,Donald Trump,Kamala Harris,No,Yes,18-29,Male,White,White College,College,Midwest,54173,9
363,Likely,Somewhat,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Kamala Harris,Kamala Harris,Yes,Yes,45-64,Female,White,White No College,No College,Northeast,02780,9
374,Certain,Somewhat,Only in presidential elections,"Donald Trump, the Republican",Democrat,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Kamala Harris,Unsure,Unsure,45-64,Female,White,White College,College,Northeast,08752,9
468,Likely,Somewhat,Always,"Donald Trump, the Republican",Democrat,,"Joe Biden, the Democrat",Healthcare,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,18-29,Male,Hispanic,Non White No College,No College,Northeast,11210,9
470,Likely,Very,Only in presidential elections,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Unsure,Yes,Yes,45-64,Female,Other,Non White No College,No College,Midwest,44256,9
514,Likely,Somewhat,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Kamala Harris,Yes,Unsure,30-44,Male,White,White No College,No College,West,97302,9
517,Certain,Somewhat,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Unsure,Kamala Harris,No,No,30-44,Male,Other,Non White College,College,West,92056,9
532,Likely,Somewhat,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Donald Trump,Unsure,Yes,No,30-44,Male,Hispanic,Non White No College,No College,West,90262,9
566,Certain,Not at all,Always,Undecided,Independent,Neither,"Joe Jorgensen, the Libertarian",Healthcare,Unsure,Unsure,Unsure,Unsure,Unsure,65+,Female,White,White No College,No College,West,90027,9
572,Certain,Somewhat,Only in presidential elections,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Kamala Harris,Yes,Yes,30-44,Male,Hispanic,Non White No College,No College,Midwest,48505,9
590,Certain,Somewhat,Only in presidential elections,"Kamala Harris, the Democrat",Republican,Republican,"Donald Trump, the Republican",Healthcare,Kamala Harris,Kamala Harris,Kamala Harris,Yes,No,65+,Male,White,White No College,No College,South,28659,9
616,Likely,Somewhat,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Other,Unsure,Unsure,Donald Trump,Yes,Yes,65+,Male,White,White No College,No College,South,72901,9
634,Likely,Somewhat,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,White,White No College,No College,South,70360,9
749,Likely,Somewhat,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,30-44,Male,White,White College,College,Midwest,60623,9
766,Likely,Somewhat,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,Yes,Yes,30-44,Female,Black or African American,Non White No College,No College,South,21225,9
794,Certain,Somewhat,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,30-44,Female,White,White College,College,Northeast,12449,9
816,Certain,Somewhat,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,Yes,Yes,45-64,Female,White,White No College,No College,South,32179,9
826,Certain,Somewhat,Only in presidential elections,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Unsure,Yes,Yes,65+,Male,White,White No College,No College,West,86440,9
850,Likely,Very,Only in presidential elections,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,30-44,Female,Hispanic,Non White No College,No College,South,31833,9
856,Certain,Somewhat,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,Yes,65+,Female,White,White No College,No College,Midwest,44646,9
864,Certain,Somewhat,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,Yes,Yes,65+,Female,White,White No College,No College,Midwest,53208,9
905,Certain,Somewhat,Only in presidential elections,"Donald Trump, the Republican",Independent,Neither,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Unsure,Unsure,30-44,Female,White,White No College,No College,Midwest,53224,9
923,Likely,Somewhat,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Kamala Harris,Yes,Unsure,65+,Female,White,White No College,No College,Midwest,43031,9
930,Certain,Somewhat,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,Unsure,45-64,Female,White,White No College,No College,Midwest,48135,9
932,Certain,Somewhat,Only in presidential elections,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White No College,No College,South,76031,9
959,Likely,Somewhat,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Kamala Harris,Kamala Harris,Yes,Yes,18-29,Female,Black or African American,Non White No College,No College,Northeast,10456,9
990,Certain,Not at all,Always,"Donald Trump, the Republican",Independent,Neither,"Donald Trump, the Republican",Other,Donald Trump,Donald Trump,Kamala Harris,Yes,Yes,65+,Female,White,White No College,No College,Northeast,01902,9
1043,Likely,Very,Only in presidential elections,"Donald Trump, the Republican",Republican,,"Joe Biden, the Democrat",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Male,Other,Non White No College,No College,South,78541,9
36,Likely,Somewhat,Recently registered to vote,"Donald Trump, the Republican",Republican,,I did not vote,Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,30-44,Male,White,White No College,No College,Midwest,43204,8
49,Likely,Not very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,Other,Non White No College,No College,South,36695,8
79,Likely,Very,Sometimes,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Male,White,White College,College,West,83346,8
129,Certain,Somewhat,Sometimes,"Donald Trump, the Republican",Republican,,I did not vote,The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,30-44,Male,White,White No College,No College,South,33542,8
167,Likely,Not very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Male,White,White College,College,South,33607,8
223,Certain,Somewhat,Sometimes,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Other,Kamala Harris,Unsure,Kamala Harris,No,No,45-64,Male,White,White No College,No College,Midwest,53207,8
245,Certain,Somewhat,Sometimes,"Kamala Harris, the Democrat",Republican,,"Joe Jorgensen, the Libertarian",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,No,Yes,30-44,Male,Other,Non White College,College,Midwest,50322,8
282,Certain,Not very,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,No,No,30-44,Female,White,White College,College,Midwest,46214,8
318,Certain,Not very,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",The economy and jobs,Unsure,Donald Trump,Kamala Harris,No,Yes,30-44,Male,White,White College,College,Northeast,11530,8
331,Likely,Very,Sometimes,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Unsure,45-64,Female,White,White No College,No College,South,70113,8
338,Certain,Very,Rarely,"Donald Trump, the Republican",Independent,Neither,I did not vote,The economy and jobs,Donald Trump,Donald Trump,Kamala Harris,No,No,18-29,Female,Hispanic,Non White No College,No College,South,19711,8
340,Likely,Somewhat,Recently registered to vote,"Donald Trump, the Republican",Republican,Republican,I did not vote,The economy and jobs,Donald Trump,Donald Trump,Kamala Harris,Yes,Unsure,18-29,Male,White,White No College,No College,Midwest,54157,8
348,Likely,Not very,Always,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White College,College,Northeast,13480,8
349,Likely,Very,Sometimes,"Donald Trump, the Republican",Independent,Neither,I did not vote,The economy and jobs,Donald Trump,Donald Trump,Kamala Harris,Unsure,Yes,18-29,Female,Hispanic,Non White No College,No College,Midwest,48224,8
370,Certain,Somewhat,Sometimes,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Immigration and border security,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Female,White,White College,College,Northeast,07052,8
400,Certain,Somewhat,Sometimes,"Kamala Harris, the Democrat",Democrat,,I did not vote,The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,White,White No College,No College,Midwest,53511,8
440,Likely,Very,Sometimes,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Crime and public safety,Donald Trump,Donald Trump,Kamala Harris,Unsure,Yes,45-64,Male,Other,Non White College,College,Northeast,08550,8
450,Certain,Somewhat,Sometimes,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,30-44,Female,White,White College,College,Northeast,01370,8
469,Certain,Somewhat,Sometimes,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Other,Donald Trump,Donald Trump,Kamala Harris,Yes,Yes,30-44,Female,White,White College,College,Midwest,66713,8
481,Likely,Very,Sometimes,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,18-29,Male,Black or African American,Non White No College,No College,South,30093,8
495,Certain,Somewhat,Sometimes,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White College,College,Midwest,48074,8
502,Likely,Very,Sometimes,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,Unsure,45-64,Male,White,White College,College,Midwest,48197,8
504,Certain,Somewhat,Sometimes,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White No College,No College,South,24370,8
569,Likely,Very,Sometimes,"Kamala Harris, the Democrat",Independent,Neither,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Unsure,Kamala Harris,Yes,Unsure,65+,Female,Other,Non White College,College,West,91321,8
592,Likely,Very,Sometimes,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,30-44,Male,White,White College,College,South,74073,8
611,Likely,Somewhat,Recently registered to vote,"Kamala Harris, the Democrat",Democrat,,I did not vote,Crime and public safety,Kamala Harris,Donald Trump,Kamala Harris,No,No,18-29,Female,Other,Non White No College,No College,South,32506,8
636,Certain,Very,Rarely,"Donald Trump, the Republican",Republican,,I did not vote,Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,30-44,Female,White,White No College,No College,Midwest,48829,8
697,Likely,Somewhat,Recently registered to vote,"Kamala Harris, the Democrat",Democrat,Democrat,I did not vote,Abortion rights and restrictions,Kamala Harris,Unsure,Kamala Harris,No,No,18-29,Female,Black or African American,Non White No College,No College,South,30331,8
717,Certain,Somewhat,Sometimes,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White College,College,Midwest,49065,8
730,Certain,Very,Rarely,"Kamala Harris, the Democrat",Democrat,,I did not vote,Immigration and border security,Kamala Harris,Kamala Harris,Kamala Harris,Yes,Yes,65+,Female,Black or African American,Non White No College,No College,West,98499,8
755,Certain,Not very,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,White,White College,College,South,77346,8
759,Certain,Somewhat,Sometimes,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,No,Yes,30-44,Female,White,White College,College,West,85719,8
787,Certain,Not very,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,White,White College,College,South,36606,8
799,Certain,Very,Rarely,"Kamala Harris, the Democrat",Independent,Neither,"Joe Biden, the Democrat",Other,Kamala Harris,Kamala Harris,Kamala Harris,No,No,30-44,Male,White,White No College,No College,Midwest,44105,8
817,Certain,Not very,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Donald Trump,Kamala Harris,Kamala Harris,No,No,30-44,Female,White,White College,College,West,93063,8
849,Likely,Very,Sometimes,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White No College,No College,South,28152,8
863,Likely,Somewhat,Recently registered to vote,"Donald Trump, the Republican",Republican,,I did not vote,Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,No,30-44,Female,White,White No College,No College,Northeast,17701,8
870,Certain,Very,Rarely,"Donald Trump, the Republican",Republican,,I did not vote,Crime and public safety,Donald Trump,Donald Trump,Kamala Harris,Yes,Yes,45-64,Female,White,White No College,No College,West,99508,8
891,Likely,Somewhat,Recently registered to vote,"Kamala Harris, the Democrat",Democrat,,I did not vote,Immigration and border security,Kamala Harris,Kamala Harris,Kamala Harris,No,No,30-44,Female,Other,Non White College,College,Northeast,10461,8
902,Certain,Not very,Only in presidential elections,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Unsure,Yes,Yes,65+,Female,White,White No College,No College,South,36606,8
912,Certain,Somewhat,Sometimes,"Kamala Harris, the Democrat",Independent,Neither,I did not vote,Other,Unsure,Unsure,Unsure,Unsure,Unsure,30-44,Female,Black or African American,Non White No College,No College,Northeast,10460,8
927,Certain,Very,Rarely,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Donald Trump,Kamala Harris,Yes,Yes,65+,Female,White,White No College,No College,Midwest,60421,8
957,Certain,Very,Rarely,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Unsure,18-29,Male,Black or African American,Non White No College,No College,South,20772,8
976,Certain,Somewhat,Sometimes,"Donald Trump, the Republican",Independent,Neither,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White College,College,Midwest,65360,8
1011,Likely,Not very,Always,"Kamala Harris, the Democrat",Independent,Neither,"Jo Jorgensen, the Libertarian",Other,Kamala Harris,Kamala Harris,Kamala Harris,No,No,30-44,Female,White,White College,College,Midwest,60193,8
1039,Certain,Very,Rarely,"Donald Trump, the Republican",Republican,Republican,I did not vote,Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Male,White,White No College,No College,South,28560,8
1051,Likely,Very,Sometimes,"Donald Trump, the Republican",Independent,Neither,"Joe Biden, the Democrat",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,No,Yes,45-64,Male,Hispanic,Non White No College,No College,Northeast,19143,8
1052,Likely,Somewhat,Recently registered to vote,"Kamala Harris, the Democrat",Republican,Republican,I did not vote,The economy and jobs,Kamala Harris,Donald Trump,Kamala Harris,Yes,No,18-29,Male,Hispanic,Non White No College,No College,Northeast,18102,8
57,Certain,Not very,Sometimes,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",Threats to democracy and corruption,Donald Trump,Donald Trump,Donald Trump,Unsure,Yes,45-64,Female,White,White No College,No College,West,82007,7
70,Likely,Somewhat,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Male,White,White College,College,South,75287,7
119,Certain,Not very,Sometimes,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Abortion rights and restrictions,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White No College,No College,South,78233,7
138,Certain,Not at all,Only in presidential elections,"Donald Trump, the Republican",Democrat,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Kamala Harris,Yes,Unsure,30-44,Male,White,White No College,No College,Northeast,01119,7
185,Likely,Somewhat,Only in presidential elections,"Donald Trump, the Republican",Republican,,I did not vote,Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Male,White,White No College,No College,South,35768,7
211,Likely,Somewhat,Only in presidential elections,"Donald Trump, the Republican",Democrat,,"Donald Trump, the Republican",Healthcare,Donald Trump,Donald Trump,Donald Trump,Yes,No,45-64,Male,White,White No College,No College,Northeast,18974,7
224,Likely,Somewhat,Only in presidential elections,"Donald Trump, the Republican",Republican,,I did not vote,Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White No College,No College,Midwest,63638,7
326,Certain,Not very,Sometimes,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White No College,No College,Midwest,44312,7
404,Likely,Somewhat,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,No,Yes,45-64,Male,White,White College,College,Northeast,03755,7
435,Likely,Somewhat,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,White,White No College,No College,South,27205,7
442,Likely,Somewhat,Only in presidential elections,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Unsure,No,No,30-44,Male,Hispanic,Non White No College,No College,West,90280,7
487,Likely,Somewhat,Only in presidential elections,"Kamala Harris, the Democrat",Independent,Neither,"Joe Biden, the Democrat",Crime and public safety,Donald Trump,Donald Trump,Kamala Harris,Yes,Unsure,45-64,Male,Other,Non White College,College,West,97408,7
506,Certain,Not at all,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,30-44,Male,Hispanic,Non White College,College,West,95131,7
524,Likely,Not at all,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Unsure,Donald Trump,Donald Trump,Yes,No,65+,Female,White,White College,College,West,88101,7
527,Likely,Not at all,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Other,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Male,White,White No College,No College,Midwest,53558,7
557,Likely,Somewhat,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Immigration and border security,Kamala Harris,Kamala Harris,Kamala Harris,Yes,Yes,30-44,Male,White,White No College,No College,Northeast,18403,7
570,Likely,Somewhat,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Unsure,Kamala Harris,No,No,45-64,Male,White,White No College,No College,Midwest,55124,7
577,Likely,Somewhat,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,No,No,30-44,Male,White,White College,College,Northeast,08004,7
578,Likely,Somewhat,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Unsure,Kamala Harris,No,No,65+,Male,White,White No College,No College,Northeast,14830,7
579,Likely,Not at all,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Unsure,30-44,Male,White,White No College,No College,South,27804,7
581,Likely,Not very,Recently registered to vote,"Kamala Harris, the Democrat",Independent,Neither,I did not vote,Threats to democracy and corruption,Unsure,Unsure,Kamala Harris,No,No,30-44,Female,White,White No College,No College,Northeast,13068,7
595,Likely,Somewhat,Only in presidential elections,"Kamala Harris, the Democrat",Republican,Republican,"Joe Biden, the Democrat",Other,Unsure,Unsure,Kamala Harris,No,No,30-44,Male,White,White No College,No College,West,91604,7
599,Certain,Very,Never,"Donald Trump, the Republican",Republican,,I did not vote,The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,18-29,Male,Other,Non White No College,No College,West,90031,7
602,Neither Likely nor Unlikely,Very,Only in presidential elections,"Donald Trump, the Republican",Republican,,"Jo Jorgensen, the Libertarian",Gun rights and restrictions,Unsure,Donald Trump,Kamala Harris,Unsure,No,45-64,Female,White,White No College,No College,Midwest,65714,7
654,Neither Likely nor Unlikely,Somewhat,Always,"Donald Trump, the Republican",Republican,,"Joe Biden, the Democrat",Immigration and border security,Unsure,Unsure,Donald Trump,Yes,Yes,30-44,Female,White,White College,College,South,71112,7
767,Certain,Not very,Sometimes,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Threats to democracy and corruption,Donald Trump,Donald Trump,Donald Trump,Yes,Unsure,45-64,Female,White,White No College,No College,South,29829,7
786,Unlikely,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,No,No,30-44,Male,Black or African American,Non White No College,No College,West,95678,7
813,Likely,Somewhat,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,I did not vote,Crime and public safety,Kamala Harris,Kamala Harris,Donald Trump,Unsure,Yes,30-44,Male,Black or African American,Non White No College,No College,West,94803,7
918,Likely,Somewhat,Only in presidential elections,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Immigration and border security,Kamala Harris,Kamala Harris,Kamala Harris,Yes,Yes,65+,Female,White,White No College,No College,Midwest,44094,7
921,Certain,Not very,Sometimes,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Kamala Harris,Yes,Yes,65+,Female,White,White College,College,Midwest,53406,7
954,Likely,Somewhat,Only in presidential elections,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Male,White,White College,College,South,34476,7
970,Certain,Not very,Sometimes,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Healthcare,Donald Trump,Donald Trump,Donald Trump,No,Yes,45-64,Female,White,White No College,No College,South,40214,7
1053,Certain,Very,Never,"Donald Trump, the Republican",Republican,,I did not vote,The economy and jobs,Donald Trump,Donald Trump,Donald Trump,No,Yes,45-64,Male,Hispanic,Non White No College,No College,Northeast,19140,7
34,Likely,Somewhat,Sometimes,"Kamala Harris, the Democrat",Democrat,,I did not vote,Gun rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,Yes,18-29,Male,Hispanic,Non White No College,No College,Midwest,60178,6
55,Likely,Somewhat,Sometimes,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Threats to democracy and corruption,Unsure,Unsure,Kamala Harris,No,No,30-44,Male,Other,Non White College,College,South,20175,6
60,Likely,Not very,Only in presidential elections,"Kamala Harris, the Democrat",Independent,Neither,"Donald Trump, the Republican",Gun rights and restrictions,Kamala Harris,Unsure,Unsure,Yes,Yes,30-44,Male,White,White No College,No College,Midwest,67213,6
64,Likely,Somewhat,Sometimes,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Immigration and border security,Kamala Harris,Kamala Harris,Kamala Harris,No,Unsure,45-64,Female,Hispanic,Non White No College,No College,Northeast,07728,6
78,Likely,Somewhat,Sometimes,"Donald Trump, the Republican",Democrat,Democrat,I did not vote,The economy and jobs,Donald Trump,Donald Trump,Unsure,Yes,Yes,45-64,Female,White,White College,College,Midwest,43614,6
